Código UPZ;CMNOMUPLA;Año;IPM;TAE;TD;SATISFACCION_ING_TRAB
11;San Cristobal Norte;2021;6,24972105;93,5872879;15,72886448;5,860121722
12;Toberin;2021;1,051310182;95,84707642;8,079026249;6,216450856
13;Los Cedros;2021;0,358588189;97,81006622;3,856044295;7,508519659
18;Britalia;2021;2,014772892;91,8483963;6,371652359;6,122227467
19;El Prado;2021;1,271206975;96,57060242;4,017810185;7,246358784
21;Los Andes;2021;1,683366656;96,21891022;9,891705364;6,917598862
23;Casa Blanca Suba;2021;0,981774271;97,34814453;7,053874876;7,227875897
24;Niza;2021;1,512846231;96,98416901;6,077644626;6,703345537
26;Las Ferias;2021;3,672549963;92,62828827;15,26776376;5,809815917
27;Suba;2021;3,209917545;94,64273834;10,10318585;5,346944479
28;El Rincon;2021;6,026287556;90,03266144;15,37649088;5,64774883
29;Minuto de Dios;2021;3,670331001;95,68203735;13,34586748;6,035464237
30;Boyaca Real;2021;1,978309274;96,7688446;9,636903632;6,282494221
32;San Blas;2021;6,790640831;96,31481934;18,66930679;4,733273518
33;Sosiego;2021;3,832864046;96,07522583;13,79640361;5,44411162
34;20 de Julio;2021;5,442222118;95,24598694;17,12539218;4,685777699
35;Ciudad Jardin;2021;5,296263695;96,54528809;8,88595276;5,693990559
37;Santa Isabel;2021;4,845734119;94,49055481;11,98050718;5,918557204
38;Restrepo;2021;4,157518864;92,2099762;9,35058868;5,69041665
39;Quiroga;2021;5,994850159;94,49160767;17,28230849;5,57572182
40;Ciudad Montes;2021;3,216055393;95,88619995;8,601390718;6,471423038
41;Muzu;2021;2,041692734;95,48482513;8,195415476;6,167998118
42;Venecia;2021;3,636387348;94,15519714;13,94821147;5,307559399
43;San Rafael;2021;3,630448818;95,08470154;9,863512603;5,554739101
44;Americas;2021;3,059303284;95,49443817;10,48735945;6,517549759
45;Carvajal;2021;4,18639946;94,26469421;14,71354486;5,768848603
47;Kennedy Central;2021;3,371540546;95,05699158;17,51302908;5,688088641
48;Timiza;2021;3,17013669;91,8169632;13,37312604;5,008643806
49;Apogeo;2021;5,92954731;95,15452576;19,34954226;5,34771581
50;La Gloria;2021;6,307860374;95,64778137;17,84257663;4,750335014
51;Los Libertadores;2021;6,736178875;95,05917358;18,90250111;5,449615379
52;La Flora;2021;18,14881897;93,38023376;22,2856895;4,557799801
54;Marruecos;2021;8,867495537;92,22994995;17,61272904;5,510614439
55;Diana Turbay;2021;12,80075741;92,81642914;19,47710603;4,413746668
57;Gran Yomasa;2021;9,900827408;92,52017975;16,69849046;5,061225095
58;Comuneros;2021;8,123106956;93,55212402;15,94455603;5,746088485
62;Tunjuelito;2021;8,801693916;92,56546021;17,35443058;5,022414859
65;Arborizadora;2021;3,012639284;95,28278351;14,50475561;5,761991968
66;San Francisco;2021;9,377874374;92,1425705;17,88002319;5,524526461
67;Lucero;2021;13,02772331;88,84249115;16,11971134;5,074556954
69;Ismael Perdomo;2021;10,57143307;91,89621735;12,90576235;4,874318201
70;Jerusalem;2021;12,67682648;88,62602234;21,91203294;4,898758882
71;Tibabuyes;2021;5,479527473;92,0759201;14,09068023;5,156770326
72;Bolivia;2021;1,122553945;96,65036011;11,07925359;6,104650864
73;Garces Navas;2021;3,055124521;94,19100189;9,422183235;6,445569288
74;Engativa;2021;8,592614174;90,37989807;12,94626844;5,42272141
75;Fontibon;2021;4,31018877;93,87253571;12,11181215;5,81978258
76;Fontibon San Pablo;2021;6,250592232;93,35697174;14,01304239;5,821864347
77;Zona Franca;2021;2,493697882;94,56487274;13,85095618;5,691974504
78;Tintal Norte;2021;1,988543987;96,4138031;13,15542747;5,78182418
79;Calandaima;2021;5,182502747;93,49733734;22,11126556;4,66098039
